id,original_title,genres1
37735,Easy A,Comedy
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure
23483,Kick-Ass,Action
37710,The Tourist,Action
9543,Prince of Persia: The Sands of Time,Adventure
20662,Robin Hood,Action
44264,True Grit,Drama
18823,Clash of the Titans,Adventure
27022,"The Sorcerer's Apprentice",Fantasy
37799,The Social Network,Drama
22538,Scott Pilgrim vs. the World,Action
39451,Little Fockers,Comedy
34851,Predators,Action
32657,Percy Jackson & the Olympians: The Lightning Thief,Adventure
44048,Unstoppable,Action
10192,Shrek Forever After,Comedy
22971,Dear John,Drama
34544,The A-Team,Thriller
39514,RED,Action
23631,Machete,Action
38365,Grown Ups,Comedy
20504,The Book of Eli,Action
35056,Date Night,Comedy
23168,The Town,Crime
24021,The Twilight Saga: Eclipse,Adventure
38055,Megamind,Animation
10196,The Last Airbender,Action
27581,The Other Guys,Action
49018,Insidious,Horror
41233,Step Up 3D,Drama
45269,"The King's Speech",Drama
43347,Love & Other Drugs,Drama
49009,The Way Back,Drama
31867,Repo Men,Action
23830,Last Night,Drama
37834,Knight and Day,Action
38167,Eat Pray Love,Drama
46705,Blue Valentine,Drama
27573,The Bounty Hunter,Action
25195,Leap Year,Romance
22972,Green Zone,Action
38745,"Gulliver's Travels",Comedy
34806,The Back-Up Plan,Comedy
37950,Charlie St. Cloud,Drama
41210,The Switch,Comedy
27586,The Runaways,Drama
32856,"Valentine's Day",Comedy
46261,"Don't Be Afraid of the Dark",Fantasy
41439,Saw 3D,Horror
38575,The Karate Kid,Action
41733,Due Date,Comedy
44147,Wild Target,Action
26389,From Paris with Love,Action
11439,The Ghost Writer,Thriller
43923,"It's Kind of a Funny Story",Comedy
43539,The Next Three Days,Romance
23437,A Nightmare on Elm Street,Horror
34813,The Losers,Action
45317,The Fighter,Drama
32823,Get Him to the Greek,Comedy
20533,Jonah Hex,Action
40264,Vampires Suck,Horror
44639,Inside Job,Documentary
37821,Killers,Action
22894,Legion,Horror
37786,Sex and the City 2,Comedy
38303,You Again,Comedy
35019,Nanny McPhee and the Big Bang,Fantasy
23048,Hot Tub Time Machine,Science Fiction
41402,Let Me In,Drama
43949,Flipped,Comedy
41216,"Legend of the Guardians: The Owls of Ga'Hoole",Animation
22907,Takers,Action
42297,Burlesque,Drama
44129,The Company Men,Drama
38073,Going the Distance,Comedy
41283,Faster,Crime
41436,Paranormal Activity 2,Horror
42188,Never Let Me Go,Drama
27579,The American,Crime
23742,Cop Out,Action
43933,Monsters,Drama
38408,Life as We Know It,Comedy
23759,Centurion,Drama
55347,Beginners,Drama
41505,Shelter,Horror
44113,Stone,Drama
33217,Diary of a Wimpy Kid,Comedy
43947,I Spit on Your Grave,Thriller
43593,Piranha 3D,Comedy
38357,Morning Glory,Comedy
45094,Conviction,Drama
49852,The Nutcracker: The Untold Story,Fantasy
38358,The Last Exorcism,Horror
23023,Tooth Fairy,Comedy
38363,Fair Game,Drama
45657,The Ward,Horror
26388,Buried,Drama
38778,Dinner for Schmucks,Comedy
39781,The Kids Are All Right,Comedy
42684,Skyline,Science Fiction
48289,The Debt,Drama
39013,"Winter's Bone",Drama
27004,Ca$h,Crime
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy
37931,MacGruber,Action
42888,How Do You Know,Comedy
45649,Rubber,Comedy
23172,The Spy Next Door,Action
34016,"She's Out of My League",Comedy
53172,"Henry's Crime",Action
48838,London Boulevard,Drama
44603,Hereafter,Drama
43931,My Soul to Take,Drama
42194,TEKKEN,Crime
42194,TEKKEN,Crime
60309,The Conspirator,Crime
34803,Death at a Funeral,Comedy
44835,Hesher,Drama
44629,Animal Kingdom,Drama
38579,Marmaduke,Family
33909,Wall Street: Money Never Sleeps,Drama
43434,Carlos,Crime
44009,Another Year,Comedy
45658,Everything Must Go,Comedy
29427,The Crazies,Mystery
27585,Rabbit Hole,Drama
12819,Alpha and Omega,Family
41515,Yogi Bear,Comedy
41592,StreetDance 3D,Drama
45132,Super,Comedy
44638,The Tempest,Fantasy
45272,Country Strong,Drama
43930,"Tomorrow, When the War Began",Action
27569,Extraordinary Measures,Drama
44040,Devil,Horror
34563,Our Family Wedding,Comedy
31261,Halo Legends,Action
46829,"Barney's Version",Comedy
12201,Edge of Darkness,Crime
44877,4.3.2.1,Action
70695,Dirty Girl,Drama
42296,Catfish,Documentary
35169,Furry Vengeance,Comedy
45324,Casino Jack,Crime
43919,Hatchet II,Horror
43935,Dylan Dog: Dead of Night,Action
38568,Howl,Drama
43942,Freakonomics,Documentary
56601,The Perfect Game,Drama
52015,Stake Land,Drama
46528,"The Warrior's Way",Adventure
50204,Burke & Hare,Comedy
12645,Inhale,Drama
37495,Four Lions,Comedy
46689,Waste Land,Documentary
47088,The Extra Man,Comedy
41556,The Romantics,Comedy
56812,Balada triste de trompeta,Drama
35688,Why Did I Get Married Too?,Comedy
35791,Resident Evil: Afterlife,Action
43552,Vanishing on 7th Street,Drama
49679,Action Replayy,Drama
39486,Secretariat,Drama
39356,Boy,Drama
550,Fight Club,Drama
603,The Matrix,Action
14,American Beauty,Drama
1893,Star Wars: Episode I - The Phantom Menace,Adventure
564,The Mummy,Adventure
497,The Green Mile,Fantasy
745,The Sixth Sense,Mystery
36643,The World Is Not Enough,Adventure
796,Cruel Intentions,Drama
2668,Sleepy Hollow,Drama
2105,American Pie,Comedy
1844,Entrapment,Romance
863,Toy Story 2,Animation
4951,10 Things I Hate About You,Comedy
509,Notting Hill,Comedy
817,Austin Powers: The Spy Who Shagged Me,Crime
226,"Boys Don't Cry",Crime
9008,The Insider,Drama
926,Galaxy Quest,Comedy
345,Eyes Wide Shut,Drama
492,Being John Malkovich,Fantasy
9535,Analyze This,Comedy
10137,Stuart Little,Fantasy
9481,The Bone Collector,Drama
8487,Wild Wild West,Action
1911,The 13th Warrior,Adventure
9946,End of Days,Action
1715,The Cider House Rules,Drama
10386,The Iron Giant,Adventure
8914,Deep Blue Sea,Horror
2112,Payback,Drama
4806,Runaway Bride,Comedy
10314,"She's All That",Comedy
